Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
E0,31/12/16,Burnley,Sunderland,4,1,H,1,0,H
E0,31/12/16,Chelsea,Stoke,4,2,H,1,0,H
E0,31/12/16,Leicester,West Ham,1,0,H,1,0,H
E0,31/12/16,Liverpool,Man City,1,0,H,1,0,H
E0,31/12/16,Man United,Middlesbrough,2,1,H,0,0,D
E0,31/12/16,Southampton,West Brom,1,2,A,1,1,D
E0,31/12/16,Swansea,Bournemouth,0,3,A,0,2,A
E0,1/1/2017,Arsenal,Crystal Palace,2,0,H,1,0,H
E0,1/1/2017,Watford,Tottenham,1,4,A,0,3,A
E0,2/1/2017,Everton,Southampton,3,0,H,0,0,D
E0,2/1/2017,Man City,Burnley,2,1,H,0,0,D
E0,2/1/2017,Middlesbrough,Leicester,0,0,D,0,0,D
E0,2/1/2017,Sunderland,Liverpool,2,2,D,1,1,D
E0,2/1/2017,West Brom,Hull,3,1,H,0,1,A
E0,2/1/2017,West Ham,Man United,0,2,A,0,0,D
E0,3/1/2017,Bournemouth,Arsenal,3,3,D,2,0,H
E0,3/1/2017,Crystal Palace,Swansea,1,2,A,0,1,A
E0,3/1/2017,Stoke,Watford,2,0,H,1,0,H
E0,4/1/2017,Tottenham,Chelsea,2,0,H,1,0,H
E0,14/01/17,Burnley,Southampton,1,0,H,0,0,D
E0,14/01/17,Hull,Bournemouth,3,1,H,1,1,D
E0,14/01/17,Leicester,Chelsea,0,3,A,0,1,A
E0,14/01/17,Sunderland,Stoke,1,3,A,1,3,A
E0,14/01/17,Swansea,Arsenal,0,4,A,0,1,A
E0,14/01/17,Tottenham,West Brom,4,0,H,2,0,H
E0,14/01/17,Watford,Middlesbrough,0,0,D,0,0,D
E0,14/01/17,West Ham,Crystal Palace,3,0,H,0,0,D
E0,15/01/17,Everton,Man City,4,0,H,1,0,H
E0,15/01/17,Man United,Liverpool,1,1,D,0,1,A
